SSI;4POW;MAV;WL;ACC;IEMG;RMS;VAR;DASDV;Target_Class
725597,3418952383;1648182818,9106345;31,478703553341763;17171,6076361928;27,518601981078202;19674,1897208386;34,07280069252278;1162,8162530372408;38,53110977238883;Class 1
488705,638122714;1544986565,2548006;34,801816304946065;9828,976214020859;29,166101525284446;11763,01391107177;38,0246586967209;1450,1650982869853;41,211431784553135;Class 1
304337,7735488779;631154693,6154358;30,028130410151164;7258,435108847647;25,029086582233266;8738,185949353989;32,339361053735146;1049,4405984444065;35,49681544792536;Class 1
306075,85689481953;582667642,0575335;31,431457481165104;6629,457818821178;24,462943980889957;8549,356434876909;33,545176786577215;1129,4312062539466;34,603338703693076;Class 1
833246,0244965854;3856632881,7449656;41,978461103605326;12369,40135887018;31,71641374069277;16413,578291509682;46,16344875840669;2136,5282679399625;44,91629220791343;Class 2
1400849,404961211;7871898593,023699;45,98540928509481;17306,766435598132;31,813908888967156;25062,04806037667;50,69877592864321;2575,0908179434023;44,38909587166491;Class 2
480242,026304699;1351805357,2111788;38,33487425116851;8883,644630837372;30,633257347715077;11155,448407090036;40,62408450164636;1656,0069872575828;42,447871593195444;Class 2
551204,522127853;1658596850,5806477;37,576113199900085;9723,250069503061;28,597794322067827;12813,45460116593;40,20491945971329;1621,1897709642735;39,85577242770117;Class 2
677367,4291452653;2189417231,45533;38,61851589766221;11204,407346546022;28,65577326482359;15138,45823188359;41,56895639265744;1732,3975169955634;40,06852112428563;Class 2
260643,63497505646;426443708,43292487;25,09870649095235;7453,613552146189;21,858104258493224;8583,757619905704;27,606446561264114;764,3508357039779;29,517190695087187;Class 3
274823,2472915923;372166231,77839446;24,185233705790985;8868,935798829465;22,339888662038955;9625,723014904812;26,277569742784728;692,2499931778143;29,975523694097202;Class 3
321621,5590549589;497685704,4732193;24,829732430210925;9163,601747174112;21,065751142928995;10825,763339571962;27,159972869515933;739,3599058734687;28,978722076661935;Class 3
384905,49699794775;646998874,8291147;25,285548793149008;10770,440062099375;21,54088012419875;12668,059945367655;27,717764071181573;769,8109939958955;29,341214485136614;Class 3
217477,59823806392;268502761,24621904;23,144764041811726;6980,34814326348;20,1744165990274;8031,233122508669;25,034707794300406;628,5479717863119;27,43327300872992;Class 3
1111994,161392314;6573882243,188528;67,87205887744376;16658,658421146327;72,42894965715794;15678,445600689509;69,38175220110016;4834,7572234448435;96,23768571725171;Class 1
6271055,797670211;215485096316,3194;100,12940837883568;43921,331466513555;89,6353703398236;49163,53951400832;113,01330777639662;12798,073056469819;119,00976329831059;Class 1
4095206,385475635;71323473855,16882;86,73856021175176;37491,029078523214;80,45285209983523;40506,90761888807;93,64389224942728;8787,99653535544;108,38381288088974;Class 1
3978923,5410858425;74016650312,73972;86,92076576409006;35971,908165893685;80,2944378702984;39027,42382807644;94,13684231144234;8881,525761352326;109,21963763167562;Class 1
2923609,2219062224;48063026985,3739;87,02723730038265;25612,725573204283;76,91509181142428;29067,097258327805;93,55918460349751;8779,60727299166;103,7758482217964;Class 1
3146032,986211503;57904233441,643875;82,4396825003846;31066,308764003792;78,84849940102485;32563,67458765192;89,24483442430451;7984,855294953052;106,88594669911231;Class 1
1929872,0117823123;22487020378,939682;59,95405084290512;19639,515332079005;45,148311108227595;26139,96616750663;66,53053399476933;4436,487383407614;63,36079668238005;Class 2
833812,6055400993;3509291737,822691;49,592603693058656;14104,372139139532;45,64521727876871;15373,707144848184;51,862492057241305;2698,422671650807;61,83662640127543;Class 2
1665728,723670403;15393199137,591213;58,41742152635951;20446,20874133987;49,74746652394129;24067,97766886012;63,58483217478169;4052,8679408039;66,93121162625867;Class 2
375180,903339428;1353102816,2172427;47,49985386708006;7426,20248306026;48,53727113111282;7314,977495530329;49,35827825273293;2452,162766924366;65,28350835054208;Class 2
199526,3708977942;641497506,070342;47,502081653382355;4636,265393238711;56,53982186876477;3942,6727772307354;49,02991106958584;2433,2484255828563;70,55367713427202;Class 2
9630259,31339005;578211403298,5884;142,00232448103333;37939,49371764947;98,03486748746634;55096,901898640936;157,54445709813308;24884,390990671964;136,92714952322552;Class 3
4881988,536888838;381806818837,7519;133,47702713016866;20050,86686007572;95,48031838131296;28163,652724465588;152,1097841388015;23247,56446137542;135,4592291229632;Class 3
10493924,493894136;753169276677,1556;144,4295534163173;41629,49316271455;104,33456933011165;57771,82136652692;161,971637130503;26300,562641338685;146,8684837622307;Class 3
4677145,690163232;257165341058,61285;129,065987163964;22011,900531200892;95,70391535304736;29814,243034875682;142,29330251315616;20335,41604418797;138,3969304849938;Class 3
16624582,855864985;1197478110028,996;155,29978365089966;71922,29994735426;128,66243282174287;86967,87884450381;172,29844775783357;29739,861996180654;180,94817959565498;Class 1
